date,Min_Temp,Max_Temp,Humidity,Wind_Speed,Solar_Irradiance,Sun,Kc,ETc,ETo,Water_Need_1day
18-02-2021,16,37.1,59.9,9.4,12,24.8,0.4,9.74,3.896,12
19-02-2021,16.5,34,64,7.6,10.4,22.6,0.4,7.58,3.032,12.128
20-02-2021,16.4,36.2,55,9,11.4,24.1,0.4,9.75,3.9,15.6
21-02-2021,16.4,36.2,55,9,11.4,24.1,0.4,9.79,3.92,15.664
22-02-2021,19.1,38.7,31,7,11.4,23.9,0.4,11.93,4.77,19.088
23-02-2021,15.9,39.4,36,5.6,13,26.2,0.4,10.66,4.26,17.056
24-02-2021,18.3,38,15,7.4,11.4,24,0.4,13.51,5.4,21.616
25-02-2021,17.9,34.9,13,7.7,10.2,22.3,0.4,12.91,5.16,20.656
26-02-2021,15.7,35.5,13,10,11.4,24.1,0.8,14.66,11.73,46.912
27-02-2021,17.3,33.7,13,6,9.9,21.9,0.8,11.01,8.81,35.232
28-02-2021,15.7,31.4,14,6.1,9.6,21.4,0.8,10.35,8.28,33.12
01-03-2021,17.9,34.9,13,5.8,10.2,22.3,0.8,11.16,8.93,35.712
02-03-2021,17.2,31.2,10,6.2,9,22.4,0.8,11.05,8.84,35.36
03-03-2021,13.9,33.8,28,4.7,11.9,26.7,0.8,9.27,7.42,29.664
04-03-2021,11.2,36.5,39,4.8,14.1,30.1,0.8,9.61,7.69,30.752
05-03-2021,11.7,37.7,47,4.8,14.4,30.5,0.8,9.5,7.6,30.4
06-03-2021,11.7,39.2,52,4.8,15,31.3,0.8,9.7,7.76,31.04
07-03-2021,14.9,38.5,61,4.8,13.5,29,0.8,8.65,6.92,27.68
08-03-2021,15.1,37,63,4.8,12.7,28,0.8,8.03,6.42,25.696
09-03-2021,15.9,34.8,50,4.8,11.4,26,0.8,8.17,6.54,26.144
10-03-2021,15,35.7,60,4.9,12.2,27.2,0.8,7.89,6.31,25.248
11-03-2021,15,35.7,60,4.9,12.2,27.2,0.8,7.89,6.31,25.248
12-03-2021,20.8,36.9,32,4.9,10.1,24,0.8,9.86,7.89,31.552
13-03-2021,19.5,37.8,15,6.4,11.1,25.6,0.8,12.88,10.3,41.216
14-03-2021,23.3,38.3,9,6.4,9.5,23.2,0.8,13.61,10.89,43.552
15-03-2021,18.6,38.2,20,6.4,11.7,26.5,0.8,12.6,10.08,40.32
16-03-2021,16.5,40.8,17,5,13.7,29.5,0.8,12.1,9.68,38.72
17-03-2021,13.3,43.8,55,5,16.1,33,0.8,11.11,8.89,35.552
18-03-2021,13.6,43.7,55,5,15.9,32.8,0.8,11.04,8.83,35.328
19-03-2021,13.1,41.6,37,5,15.4,31.9,0.8,11.4,9.12,36.48
20-03-2021,17.7,41.2,67,5.1,13.4,29,0.8,9,7.2,28.8
21-03-2021,17.1,38.7,68,5.1,12.6,27.8,0.8,8.16,6.53,26.112
22-03-2021,19.1,29.8,79,5.1,7.2,19.6,0.8,4.57,3.66,14.624
23-03-2021,17.4,29.2,81,5.1,7.8,20.6,0.8,4.44,3.55,14.208
24-03-2021,16.4,30.2,76,5.1,8.9,22.3,0.8,5.16,4.13,16.512
25-03-2021,16.8,35.033,68,5.8,10.8,25.2,0.8,7.12,5.69,22.76
26-03-2021,16.8,35.033,68,5.8,10.8,25.2,0.8,7.12,5.69,22.76
27-03-2021,17.9,34.1215,67.75,6.15,10.65,24.47,0.8,7.01,6.25,25
28-03-2021,17.38,33.21,67.5,6.51,10.5,24.3,0.8,6.94,6.82,27.28
29-03-2021,17.38,33.21,67.5,6.51,10.5,24.3,0.8,6.94,6.82,27.28
30-03-2021,17.5,33.5,68,6.7,10,23.9,0.8,7.02,5.62,22.464
31-03-2021,17.1,30.2,73,6.7,8.5,21.7,0.8,5.62,4.5,17.984
01-04-2021,16,33.6,68,6.8,10.8,25.1,0.8,7.21,5.77,23.072
02-04-2021,17.4,36.8,63,6.8,12.1,28.1,1.15,8.85,10.18,40.71
03-04-2021,18.2,33.7,62,5.3,9.8,23.6,1.15,6.99,8.04,32.154
04-04-2021,18.1,31.5,71,6.8,9.1,23.4,1.15,5.96,6.85,27.416
05-04-2021,18.4,31.5,68,5.4,8.9,23.1,1.15,6.19,7.12,28.474
06-04-2021,17.1,34.6,67,6.8,10.8,25,1.15,7.52,8.65,34.592
07-04-2021,17.7,36.7,57,5.4,11.9,27.8,1.15,8.75,10.06,40.25
08-04-2021,17.9,37.3,83,5.4,12.1,28.1,1.15,6.87,7.9,31.602
09-04-2021,18.6,39.7,43,5.4,12.9,29.4,1.15,10.68,12.28,49.128
10-04-2021,18.9,40.3,40,5.4,13,29.5,1.15,11.07,12.73,50.922
11-04-2021,18.5,39,53,5.4,12.6,28.9,1.15,9.68,11.13,44.528
12-04-2021,17.6,37.9,60,5.4,12.5,28.8,1.15,8.86,10.19,40.756
13-04-2021,16.3,36.9,66,5.5,12.7,29,1.15,8.3,9.55,38.18
